,Reviews,Date,Names,Tittles
1776,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Hideous!
"
1777,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Three Stars
"
1778,"
Hideous! Hideous! I have never encountered  a more dysfunctional, counter-intuitive, poorly layed out piece of software in my life. I think it is booby-trapped to force frustrated consumers to buy Amazon books rather than read the free ones from the library. Let's revolt! Force Amazon to use the highly functional Cloud software.
","December 30, 2016",Mommallama,"
Overdrive
"
1779,"
Its a fine app, but it is difficult to work with your local library.
","February 17, 2016",mike charleston,"
Tendency to lock up
"
1780,"
I like the ability to access e & audiobook but it is slow and see, to drop requests.Could be better.
","June 12, 2013",L. T. Herman,"
Two Stars
"
1781,"
Tends to lock up my Kindle Fire when the screen is rotated.
","August 24, 2015",John A. Hatfield,"
no highlighter
"
1782,"
Too difficult to download to Kindle.
","October 4, 2016",Amazon Customer,"
Three Stars
"
1783,"
I am now looking for a different epub app because this does not offer highlighter / notation option.  otherwise everything else meets my needs.
","April 24, 2013",Ann,"
Three Stars
"
1784,"
Complicated to set up but I like it now.
","January 7, 2015",Hans G,"
I have enjoyed being able to do this for several years
"
1785,"
i am still working on all the understanding of it so i think tree stars are good
","July 13, 2016",Amazon Customer,"
One Star
"
1786,"
I only borrow e-books as opposed to purchasing them.  I have enjoyed being able to do this for several years, and have appreciated the excellent experience.  Thank you.
","March 6, 2015",Margaret Westbrook,Does not work on Kindle fire
1787,"
Put in email because didn't. have  card number but still need card number to get book
","June 15, 2016",diane jefferd,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1788,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Can't Listen to some audiobooks on my Kindle
"
1789,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Perpetual Syncing
"
1790,"
The abillity to check out Kindle books on my Kindle is excellent.I enjoy listening to audiobooks at work and I have notcied that I cannot download many titles that I have to listen to because I can only listen to them on my PC.Thus three stars.
","November 29, 2012",Dominic R. Mayhew,"
So far everything is being put on a waiting list ...
"
1791,"
I use BlackBerry Passport. Everytime I fired it up, it just stopped at the syncing page FOR A VERY LONG TIME. Uninstalled.
","June 16, 2015",bhoqeem,"
Nah
"
1792,"
So far everything is being put on a waiting list as short as 3 ahead ofme to as many as 56
","March 3, 2016",Amazon Customer,"
Coundn't actually access it.
"
1793,"
Not user friendly, doesn't seem to synchronize well with fire or kindle
","March 29, 2016",Charles,"
Not too impressed
"
1794,"
After I downloaded this app, a statement came up and said ""where is my app?"".I followed the directions on how to find it and it wasn't there. Since there wasno cost, it's not a big deal, but still irritating. I've downloaded a number of appsfrom Amazon and not had this problem before.
","March 14, 2013",Wayne Slattery,"
Not user friendly
"
1795,"
Overdrive is definitely not for Kindle Fire. It takes up a lot of space on the phone but is great for MP3 audiobooks from the library.
","October 5, 2012",Kay Loftus,"
Three Stars
"
1796,"
Not very user friendly and the book I was interested in was not available.
","October 8, 2015",Jennifer Sakell,"
Three Stars
"
1797,"
until I learn more I<m sure I will be able to give it a higher rating'
","January 23, 2017",Kindle Customer,"
Not intuitive
"
1798,"
have not checked out a book yet.  I think it will be ok
","September 12, 2015",mary mattox,Does not work on Kindle fire
1799,"
I must use this to access my library on Kindle Fire. Download required a step not listed in first instructions, which was provided by support very quickly. I've only started to use it, both search and download seem clumsy.
","April 11, 2013",John Elliott,Libby by Overdrive is a necessary app on Amazon Fire Tablets
